Comment,Footprint,Designator
0 Ohms,RES0402,"R22, R41, R42, R43, R44, R45"
10 Ohms,RES0603,R10
100 Ohms,RES0402,"R2, R3, R27, R29, R31, R33, R35"
100K Ohms,POT3MM,"R36, R37, R38, R39, R40"
100K Ohms,RES0402,"R57, R59"
100nF,CAP0402,"C2, C3, C4, C5, C6, C7, C9, C12, C13, C14, C18, C19, C24, C25, C27, C29, C31, C32, C42, C45, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C80, C81, C82, C83, C84, C88, C89, C90, C101, C103, C104, C106, C107, C112, C114"
100nH,IND0402,L36
100pF,CAP0402,"C55, C56"
100uF,CAP1206,"C11, C30, C108, C110, C111"
10K Ohms,RES0402,"R7, R9, R14, R15, R16, R17, R23, R24, R25, R47, R48, R49, R50, R58"
10nF,CAP0402,"C93, C96, C99, C109"
10pF,CAP0402,"C40, C105"
10uF,CAP0603,"C1, C10, C16, C17, C20, C23, C33, C43, C100, C102, C113"
10uF,CAP1206,C117
10uH,IND0603,FB3
120nH,IND0402,"L21, L29, L30"
150nH,IND0402,"L6, L34, L35"
180nH,IND0402,"L16, L19, L20, L26"
180pF,CAP0402,"C58, C59, C63, C64"
1K Ohms,RES0402,R12
1M Ohms,RES0402,R54
1uF,CAP0402,"C8, C21, C22, C26, C28, C34, C35, C36, C37, C38, C39, C41, C44, C46, C48, C49, C78, C79, C85, C86, C87, C98"
1uF,CAP0603,"C94, C95"
1uH,IND0603,"FB1, FB2, FB4, FB5, FB6"
2.2uH,IND3515,L37
2.6A Hold,1206,F1
220nF,CAP0402,"C47, C50"
220nH,IND0402,"L4, L5"
226K Ohms,RES0402,R55
22nH,IND0402,L11
270 Ohms,RES0402,R21
270nH,IND0402,"L14, L15, L24, L25"
270pF,CAP0402,"C53, C54"
27nH,IND0805,L1
280 Ohms,RES0402,R18
2EDG-2P-5MM,2EDG-2P-5MM,CON4
3.9nF,CAP0402,"C51, C52"
309K Ohms,RES0402,R52
330 Ohms,RES0402,"R4, R19"
330nH,IND0402,"L27, L28"
33nH,IND0402,"L9, L10"
390nH,IND0402,"L32, L33"
3P-SH-SIDE,SH-03-SIDE,CON1
3P-SH-TOP,SH-03-TOP,CON3
4.7K Ohms,RES0402,"R1, R5, R6, R8"
4.7uF,CAP0603,"C91, C92"
4.7uH,IND0404,L38
41.2K Ohms,RES0402,R51
470 Ohms,RES0402,R13
470nH,IND0402,"L17, L18"
470pF,CAP0402,"C97, C115, C116"
47pF,CAP0402,"C15, C62, C67"
49.9 Ohms,RES0402,"R26, R28, R30, R32, R34"
4P-SH-TOP,SH-04-TOP,CON2
510 Ohms,RES0402,"R20, R56"
560nH,IND0402,"L2, L3"
680nH,IND0402,"L22, L23"
68pF,CAP0402,"C57, C60, C61, C65, C66"
71.5K Ohms,RES0402,R53
74LVC1G17,SC70-5,"U2, U3, U11, U12, U13, U14, U15"
75K Ohms,RES0402,"R46, R60"
820nH,IND0402,"L12, L13"
82nH,IND0402,"L7, L8, L31"
AD5541ACPZ,DFN10,U6
AD9544,QFN48_2,U10
ADM7171ACPZ-1.8,LFCSP8_3X3,U16
ADM7171ACPZ-3.3,LFCSP8_3X3,U20
ADM7171ACPZ-5.0,LFCSP8_3X3,U17
B0530W,SOD-123,D3
BAV99,SOT23,"D4, D5, D6, D7, D8"
CR2032,CR2032,BAT1
DCJACK,DC-050,J1
DNP,RES0603,R11
DSB321SDA,TCXO-3225,U9
EFM32GG11B420F2048GL112,BGA112,U1
JS-5MM,JS_5MM,LOGO1
LED0603,603,"D1, D9"
LEDTH3MM,LED_3MM,"D2, D10"
LT8636,QFN20_ASYM_3X4_CORNER,U19
MAX-M8Q,MAX-M8,U4
MCP1501-40,SOT23-6,U5
MCP6V31,SOT23-5,U7
MIC23155,DFN10,U18
OSC5A2B02,OSC5A2B02,U8
RFCON-SMA-EDGE,SMA-EDGE,RFCON1
RFCON-U.FL,U.FL,"RFCON2, RFCON3, RFCON4, RFCON5, RFCON6, RFCON7, RFCON8, RFCON9, RFCON10, RFCON11"
SMAJ24A,DO214AC,D11
TC2050-IDC,TC2050-IDC,TC1
