Designator,Mid X,Mid Y,Rotation,Layer
C1,11.30,38.30,0.00,T
C10,23.00,16.40,270.00,T
C11,23.00,26.40,270.00,T
C12,23.00,36.40,270.00,T
C13,6.10,29.30,90.00,T
C14,7.40,29.30,90.00,T
C15,8.50,28.90,90.00,T
C2,1.95,39.65,90.00,T
C3,7.40,34.20,270.00,T
C4,11.30,39.15,0.00,T
C5,12.80,5.90,270.00,T
C6,12.80,15.90,270.00,T
C7,12.80,25.90,270.00,T
C8,12.80,35.90,270.00,T
C9,23.00,6.40,270.00,T
CON1,3.04,25.00,270.00,T
CON2,26.96,10.00,90.00,T
CON3,26.96,20.00,90.00,T
CON4,26.96,30.00,90.00,T
CON5,26.96,40.00,90.00,T
D1,8.60,48.10,180.00,T
D10,9.60,29.30,90.00,T
D2,13.70,3.40,90.00,T
D3,13.70,13.40,90.00,T
D4,13.70,23.40,90.00,T
D5,13.70,33.40,90.00,T
D6,15.20,10.00,270.00,T
D7,15.20,20.00,270.00,T
D8,15.20,30.00,270.00,T
D9,15.20,40.00,270.00,T
R1,13.30,47.80,270.00,T
R10,20.50,15.40,90.00,T
R11,20.50,25.40,90.00,T
R12,20.50,35.40,90.00,T
R13,23.00,8.40,270.00,T
R14,23.00,18.40,270.00,T
R15,23.00,28.40,270.00,T
R16,23.00,38.40,270.00,T
R17,23.00,10.60,90.00,T
R18,23.00,20.60,90.00,T
R19,23.00,30.60,90.00,T
R2,9.80,25.50,0.00,T
R20,23.00,40.60,90.00,T
R21,16.40,10.00,90.00,T
R22,16.40,20.00,90.00,T
R23,16.40,30.00,90.00,T
R24,16.40,40.00,90.00,T
R25,10.70,28.90,270.00,T
R3,9.80,24.50,0.00,T
R4,7.80,46.40,270.00,T
R5,13.70,5.90,90.00,T
R6,13.70,15.90,90.00,T
R7,13.70,25.90,90.00,T
R8,13.70,35.90,90.00,T
R9,20.50,5.40,90.00,T
TC1,19.00,47.80,0.00,T
U1,6.40,38.90,0.00,T
U2,19.50,10.00,270.00,T
U3,19.50,20.00,270.00,T
U4,19.50,30.00,270.00,T
U5,19.50,40.00,270.00,T
U6,17.10,5.90,0.00,T
U7,17.10,15.90,0.00,T
U8,17.10,25.90,0.00,T
U9,17.10,35.90,0.00,T
